"STATION","DATE","HN01","LN01","PRCP","TAVG"
"USC00345769","2018","83","27",,"58.5"
"USC00345769","2019","84","28",,"58.2"
"USC00345769","2020",,,"36.54","58.9"
"USC00345769","2021",,,,"59.3"
"USC00345769","2022","87","22",,"59.2"
"USC00341283","2014","84","27",,
"USC00341283","2015","85","31","64.31","61.9"
"USC00341283","2016","88","29","38.30","63.7"
"USC00341283","2017","87","34","35.84","63.1"
"USC00341283","2018","87","28","45.13","61.4"
"USC00341283","2019","87","33","37.41","61.3"
"USC00341283","2020","84","34",,"62.0"
"USC00341283","2021",,,,"62.2"
"USC00341283","2022","90","28",,"62.5"
"USC00290600","2014","76","33","16.75","60.3"
"USC00290600","2015","80","30","13.62","60.6"
"USC00290600","2016","81","31","16.32","61.6"
"USC00290600","2017","79","35","11.83","62.7"
"USC00290600","2018","80","33","13.07","60.7"
"USC00290600","2019","80","33","11.35","61.8"
"USC00290600","2020","82","36","6.10","62.1"
"USC00290600","2021","77","31","12.27","61.3"
"USC00290600","2022","83","30","12.17","60.8"
"USC00156624","2014",,,,"52.6"
"USC00156624","2015",,,,"55.0"
"USC00156624","2016",,,,"55.9"
"USC00156624","2017",,,,"55.4"
"USC00156624","2018",,,,
"USC00156624","2019",,,,
"USC00156624","2020",,,,"55.5"
"USC00156624","2021",,,,"55.0"
"USC00156624","2022",,,,
"USC00227111","2014","85","37","58.57","59.5"
"USC00227111","2015",,,"67.61",
"USC00227111","2016",,,,
"USC00227111","2017",,,,
"USC00227111","2018",,,,
"USC00227111","2019",,,,
"USC00227111","2020",,,,
"USC00161899","2016",,,,
"USC00161899","2018",,,,
"USC00094170","2016",,,"40.67",
"USC00094170","2017",,,"50.85",
"USC00094170","2018",,,"68.20","65.7"
"USC00094170","2019",,,"50.63",
"USC00094170","2020",,,"64.02",
"USC00094170","2021",,,"61.90","65.4"
"USC00094170","2022",,,"39.63","65.5"
"USC00042294","2014","87","43","20.44","64.0"
"USC00042294","2015","89","40","7.86","63.0"
"USC00042294","2016","89","38","20.23","62.4"
"USC00042294","2017",,,"29.88",
"USC00042294","2018","83","41","15.77","62.1"
"USC00042294","2019","82","40","32.08","62.5"
